Bol Number,Arrival Date,Company Name,Supplier Name,Product Description,Port Of Entry,Shipping Port,Supplier Country,Weight
SUDU29297AJYIWS2,11.11.19,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercader Nsito Aduana Domiciliaria Generalmotors Argentina,"Houston, Tx",Tampico,Mexico,1999.0
CMDUHBGA0319522,05.11.19,Autoneum Mexico Operations Sa De Cv,Greiner Assistec,Apzu Automotive Spare Generic,"Charleston, Sc",Bremerhaven,Germany,7431.0
OOLU262819705001,11.10.19,Bmw Ag Werk,Autoneum Mexico Operations Sa De Cv,Automotive Underbonnet,"Houston, Tx",Tampico,Mexico,541.0
CMDUDUI0168717B,01.10.19,Autoneum Mexico Operations Sa De Cv,Wellman International Limited,Bales Polyester Staple Fibre Carded Combed Processed Spinning Covered Bls Dui Dui,"Charleston, Sc",Rotterdam,Ireland,6473.0
CMDUDUI0168717A,01.10.19,Autoneum Mexico Operations Sa De Cv,Wellman Internationa Limited,Bales Polyester Staple Fibre Carded Combed Processed Spinning Covered Bls Dui Dui,"Charleston, Sc",Rotterdam,Ireland,3886.0
SUDU29297AIEY1K3,22.08.19,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercader Nsito Aduana Domiciliaria Generalmotors Argentina,"Houston, Tx",Tampico,Mexico,1999.0
SUDU29297AIEYM23,22.08.19,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercader Nsito Aduana Domiciliaria Generalmotors Argentina,"Houston, Tx",Tampico,Mexico,1999.0
SUDU29297AIEYZ1B,22.08.19,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercader Nsito Aduana Domiciliaria Generalmotors Argentina,"Houston, Tx",Tampico,Mexico,1999.0
SUDU29297AIALLW1,12.08.19,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercader Nsito Aduana Domiciliaria Generalmotors Argentina,"Houston, Tx",Tampico,Mexico,1999.0
SUDU29297AIALRBM,12.08.19,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercader Nsito Aduana Domiciliaria Generalmotors Argentina,"Houston, Tx",Tampico,Mexico,1999.0
SUDU29297AIAL49B,12.08.19,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercader Nsito Aduana Domiciliaria Generalmotors Argentina,"Houston, Tx",Tampico,Mexico,1999.0
SUDU29297AI5L550,05.08.19,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercader Nsito Aduana Domiciliaria Generalmotors Argentina,"Houston, Tx",Tampico,Mexico,1999.0
SUDU29297AI5LX42,05.08.19,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercader Nsito Aduana Domiciliaria Generalmotors Argentina,"Houston, Tx",Tampico,Mexico,1999.0
CMDUDUI0166298,01.08.19,Autoneum Mexico Operations Sa De Cv,Indorama Ventures Wellman International Limited,Bales Polyester Staple Fibre Carded Combed Processed Spinning,"Charleston, Sc",Le Havre,Ireland,6880.0
SUDU29297AI1S961,29.07.19,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercader Nsito Aduana Domiciliaria Generalmotors Argentina,"Houston, Tx",Tampico,Mexico,1999.0
SUDU29297AI1SBSE,29.07.19,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercader Nsito Aduana Domiciliaria Generalmotors Argentina,"Houston, Tx",Tampico,Mexico,1999.0
SUDU29297AI1SFDF,29.07.19,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercader Nsito Aduana Domiciliaria Generalmotors Argentina,"Houston, Tx",Tampico,Mexico,1999.0
SUDU29297AHY6XYL,22.07.19,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercader Nsito Aduana Domiciliaria Generalmotors Argentina,"Houston, Tx",Tampico,Mexico,1999.0
SUDU29297AHY6JBR,22.07.19,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercader Nsito Aduana Domiciliaria Generalmotors Argentina,"Houston, Tx",Tampico,Mexico,1999.0
SUDU29297AHM88D7,15.07.19,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercader Nsito Aduana Domiciliaria Generalmotors Argentina,"Houston, Tx",Tampico,Mexico,1999.0
SUDU29297AHM8S4P,15.07.19,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercader Nsito Aduana Domiciliaria Generalmotors Argentina,"Houston, Tx",Tampico,Mexico,1999.0
SUDU29297AHM85JP,15.07.19,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercader Nsito Aduana Domiciliaria Generalmotors Argentina,"Houston, Tx",Tampico,Mexico,1999.0
SUDU29297AHM8X4A,15.07.19,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercader Nsito Aduana Domiciliaria Generalmotors Argentina,"Houston, Tx",Tampico,Mexico,1999.0
SUDU29297AH75N6P,24.06.19,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercader Nsito Aduana Domiciliaria Generalmotors Argentina,"Houston, Tx",Tampico,Mexico,1999.0
SUDU29297AH75KZ9,24.06.19,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercader Nsito Aduana Domiciliaria Generalmotors Argentina,"Houston, Tx",Tampico,Mexico,1999.0
IFSN897003,05.06.19,Autoneum Mexico Operations Sa De Cv,Flexicel Portugal Unipessoal Lda,Foams,"Miami, Fl",Barcelona,Spain,460.0
CMDUFR40281898,03.06.19,Autoneum Mexico Operations Sa De Cv,Howa Tramico Pullflex Group,Cmau Automotive Generic,"Charleston, Sc",Anvers,Belgium,1622.0
SUDU29297AGTJ8SC,20.05.19,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercader Nsito Aduana Domiciliaria Generalmotors Argentina,"Houston, Tx",Tampico,Mexico,1999.0
SUDU29297AGTJKTU,20.05.19,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercader Nsito Aduana Domiciliaria Generalmotors Argentina,"Houston, Tx",Tampico,Mexico,1999.0
SUDU29297AGTJM2N,20.05.19,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercader Nsito Aduana Domiciliaria Generalmotors Argentina,"Houston, Tx",Tampico,Mexico,1999.0
SUDU29297AGIXNZ3,29.04.19,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercader Nsito Aduana Domiciliaria Generalmotors Argentina,"Houston, Tx",Tampico,Mexico,1999.0
SUDU29297AGIX6K5,29.04.19,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercader Nsito Aduana Domiciliaria Generalmotors Argentina,"Houston, Tx",Tampico,Mexico,1999.0
SUDU29297AGIX3CZ,29.04.19,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercader Nsito Aduana Domiciliaria Generalmotors Argentina,"Houston, Tx",Tampico,Mexico,1999.0
SUDU29297AGIXWS8,29.04.19,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercader Nsito Aduana Domiciliaria Generalmotors Argentina,"Houston, Tx",Tampico,Mexico,1999.0
SUDU29297AGIXFS4,29.04.19,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercader Nsito Aduana Domiciliaria Generalmotors Argentina,"Houston, Tx",Tampico,Mexico,1999.0
SUDU29297AGIX7HU,29.04.19,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercader Nsito Aduana Domiciliaria Generalmotors Argentina,"Houston, Tx",Tampico,Mexico,1999.0
SUDU29297AGAEGD9,15.04.19,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercader Nsito Aduana Domiciliaria Generalmotors Argentina,"Houston, Tx",Tampico,Mexico,1999.0
SUDU29297AGAERDA,15.04.19,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercader Nsito Aduana Domiciliaria Generalmotors Argentina,"Houston, Tx",Tampico,Mexico,1999.0
SUDU29297AGAEY8K,15.04.19,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercader Nsito Aduana Domiciliaria Generalmotors Argentina,"Houston, Tx",Tampico,Mexico,1999.0
SUDU29297AGAEK6D,15.04.19,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercader Nsito Aduana Domiciliaria Generalmotors Argentina,"Houston, Tx",Tampico,Mexico,1999.0
SUDU29297AGAEWLG,15.04.19,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercader Nsito Aduana Domiciliaria Generalmotors Argentina,"Houston, Tx",Tampico,Mexico,1999.0
SUDU29297AGAE3AH,15.04.19,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercader Nsito Aduana Domiciliaria Generalmotors Argentina,"Houston, Tx",Tampico,Mexico,1999.0
SUDU29297AG47K87,09.04.19,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercader Nsito Aduana Domiciliaria Generalmotors Argentina,"Houston, Tx",Tampico,Mexico,1999.0
SUDU29297AG47ZDK,09.04.19,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercader Nsito Aduana Domiciliaria Generalmotors Argentina,"Houston, Tx",Tampico,Mexico,1999.0
SUDU29297AG47UMR,09.04.19,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercader Nsito Aduana Domiciliaria Generalmotors Argentina,"Houston, Tx",Tampico,Mexico,1999.0
SUDU29297AG47EGP,09.04.19,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercader Nsito Aduana Domiciliaria Generalmotors Argentina,"Houston, Tx",Tampico,Mexico,1999.0
IFSM881525,07.04.19,Autoneum Mexico Operations Sa De Cv,Flexicel Portugal Unipessoal Lda,Plastic Articles,"Miami, Fl",Barcelona,Spain,200.0
SUDU29297AFXI6RJ,25.03.19,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercader Nsito Aduana Domiciliaria Generalmotors Argentina,"Houston, Tx",Tampico,Mexico,1999.0
SUDU29297AFXIDDB,25.03.19,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercader Nsito Aduana Domiciliaria Generalmotors Argentina,"Houston, Tx",Tampico,Mexico,1999.0
SUDU29297AFXIWTD,25.03.19,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercader Nsito Aduana Domiciliaria Generalmotors Argentina,"Houston, Tx",Tampico,Mexico,1999.0
CMDUIBC0491401,21.03.19,Autoneum Mexico Operations Sa De Cv,Acoustic Insulation Techniques,Fscu Rubber Coating Fooring Name Welldex Address Mayo Zona Centro Veracruz Mexico Rfc Dam Caat Generi,"Miami, Fl",Barcelona,Spain,19335.0
CMDUIBC0489075,06.03.19,Autoneum Mexico Operations Sa De Cv,Acoustic Insulation Techniques,Tcku Rubber Coating Flooring Generic,"Miami, Fl",Barcelona,Spain,19335.0
CMDUIBC0487990,06.03.19,Autoneum Mexico Operations Sa De Cv,Acoustic Insulation Techniques,Cmau Rubber Coating Flooring Generic,"Miami, Fl",Barcelona,Spain,19052.0
IFSM872643,27.02.19,Autoneum Mexico Operations Sa De Cv,Flexicel Portugal Unipessoal Lda,Plastic Foils,"Miami, Fl",Barcelona,Spain,240.0
CMDUHBGA0314382,27.02.19,Autoneum Mexico Operations Sa De Cv,Dr Freist Automotive Bielefeld Gmbh,Cmau Nvh Sonozorb Generic Ecmu Nvh Sonozorb,"Charleston, Sc",Bremerhaven,Germany,2922.0
SUDU29297AERNPGY,12.02.19,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercader Nsito Aduana Domiciliaria Generalmotors Argentina,"Houston, Tx",Tampico,Mexico,1999.0
SUDU29297AERNEV4,12.02.19,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercader Nsito Aduana Domiciliaria Generalmotors Argentina,"Houston, Tx",Tampico,Mexico,1999.0
SUDU29297AERNFD0,12.02.19,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercader Nsito Aduana Domiciliaria Generalmotors Argentina,"Houston, Tx",Tampico,Mexico,1999.0
IFSM864071,30.01.19,Autoneum Mexico Operations Sa De Cv,Flexicel Portugal Unipessoal Lda,Insulators,"Miami, Fl",Barcelona,Spain,120.0
SUDU29297AEW7PD2,29.01.19,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercader Nsito Aduana Domiciliaria Generalmotors Argentina,"Houston, Tx",Tampico,Mexico,1999.0
SUDU29297AEW73XB,29.01.19,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercader Nsito Aduana Domiciliaria Generalmotors Argentina,"Houston, Tx",Tampico,Mexico,1999.0
SUDU29297AEW77GD,29.01.19,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercader Nsito Aduana Domiciliaria Generalmotors Argentina,"Houston, Tx",Tampico,Mexico,1999.0
SUDU29297AEW745E,29.01.19,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercader Nsito Aduana Domiciliaria Generalmotors Argentina,"Houston, Tx",Tampico,Mexico,1999.0
SUDU29297AEW7R5X,29.01.19,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercader Nsito Aduana Domiciliaria Generalmotors Argentina,"Houston, Tx",Tampico,Mexico,1999.0
SUDU29297AEW7X33,29.01.19,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercader Nsito Aduana Domiciliaria Generalmotors Argentina,"Houston, Tx",Tampico,Mexico,1999.0
DSVF0133030038,30.03.23,Ford Werke Gmbh,Benteler De Mexico S A De C V,Automotive Automotive Automotive,"Houston, Tx",Veracruz,Mexico,3603.0
PUSJPBCLIVN00035,15.03.23,Vitesco Technologies Italy S R L,Benteler De Mexico S A De C V,High Pressure Fuel Rail Ford Bat Cardboard Bat Wooden Pallet,"Houston, Tx",Veracruz,Mexico,5064.0
OOLU271422466007,10.03.23,Bmw Ag,Benteler De Mexico S A De C V,Rear Axle Forge,"Houston, Tx",Veracruz,Mexico,1538.0
OOLU271422466008,10.03.23,Bmw Ag,Benteler De Mexico S A De C V,Rear Axle Forge,"Houston, Tx",Veracruz,Mexico,1040.0
DSVF0133020121,08.03.23,Ford Werke Gmbh,Benteler De Mexico S A De C V,Automotive Automotive Automotive Automotive Automotive,"Houston, Tx",Veracruz,Mexico,683.0
DSVF0133020042,07.03.23,Ford Werke Gmbh,Benteler De Mexico S A De C V,Automotive,"Houston, Tx",Veracruz,Mexico,51.0
OOLU271346016009,07.03.23,Bmw Ag,Benteler De Mexico S A De C V,Rear Axle Forge,"Houston, Tx",Veracruz,Mexico,2496.0
OOLU271346016001,07.03.23,Bmw Ag,Benteler De Mexico S A De C V,Rear Axle Forge,"Houston, Tx",Veracruz,Mexico,2267.0
PUSJPBCPLZN00019,06.03.23,Benteler South Africa Pty Ltd,Benteler De Mexico S A De C V,Side Rail Cortado Side Rail Cardboard,"Jacksonville, Fl",Veracruz,Mexico,51308.0
EXDO6440046175,26.02.23,Benteler Componentes Automotivos Lt,Benteler De Mexico S A De C V,Car,"Houston, Tx",Veracruz,Mexico,7334.0
PUSJPBCLIVN00020,26.02.23,Vitesco Technologies Italy S R L,Benteler De Mexico S A De C V,High Pressure Fuel Rail Ford Bat Cardboard Bat Wooden Pallet,"Houston, Tx",Veracruz,Mexico,4557.0
DSVF0133010179,22.02.23,Ford Werke Gmbh,Benteler De Mexico S A De C V,Automotive,"Houston, Tx",Veracruz,Mexico,49.0
DSVF0133010088,17.02.23,Ford Werke Gmbh,Benteler De Mexico S A De C V,Automotive Automotive,"Houston, Tx",Veracruz,Mexico,585.0
PUSJPBCLIVN00004,13.02.23,Vitesco Technologies Italy S R L,Benteler De Mexico S A De C V,High Pressure Fuel Rail Ford Bat Cardboard Bat Wooden Pallet High Pressure Fuel Rail Ford Bat Cardboard Bat Wooden Pallet,"Houston, Tx",Veracruz,Mexico,10128.0
PUSJPBCLIVN00018,13.02.23,Vitesco Technologies Italy S R L,Benteler De Mexico S A De C V,High Pressure Fuel Rail Ford Bat Cardboard Bat Wooden Pallet,"Houston, Tx",Veracruz,Mexico,5064.0
OOLU271295412011,09.02.23,Bmw Ag,Benteler De Mexico S A De C V,Rear Axle Forge,"Houston, Tx",Veracruz,Mexico,3589.0
OOLU271295412012,09.02.23,Puebla,Benteler De Mexico S A De C V,Rear Axle Forge,"Houston, Tx",Veracruz,Mexico,1854.0
PUSJPBCLIVN00012,08.02.23,Vitesco Technologies Italy S R L,Benteler De Mexico S A De C V,High Pressure Fuel Rail Ford Bat Cardboard Bat Wooden Pallet,"Houston, Tx",Veracruz,Mexico,5064.0
DSVF0133010046,28.01.23,Ford Werke Gmbh,Benteler De Mexico S A De C V,Automotive,"Houston, Tx",Veracruz,Mexico,3000.0
PUSJPBCLIVM00148,24.01.23,Vitesco Technologies Italy S R L,Benteler De Mexico S A De C V,High Pressure Fuel Rail Ford Bat Cardboard Bat Wooden Pallet,"Houston, Tx",Veracruz,Mexico,5064.0
PUSJPBCLIVM00147,24.01.23,Vitesco Technologies Italy S R L,Benteler De Mexico S A De C V,High Pressure Fuel Rail Ford Bat Cardboard Bat Wooden Pallet High Pressure Fuel Rail Ford Bat Cardboard Bat Wooden Pallet,"Houston, Tx",Veracruz,Mexico,15192.0
EXDO6440046158,22.01.23,Benteler Componentes Automotivos Lt,Benteler De Mexico S A De C V,Car,"Houston, Tx",Veracruz,Mexico,7334.0
PUSJPBCPLZM00135,13.01.23,Benteler South Africa Pty Ltd,Benteler De Mexico S A De C V,Side Rail Cortado Side Rail Cardboard Side Rail Cortado Side Rail Cardboard Travesano Trasero Frontal Superio Inferior Delantero,"Jacksonville, Fl",Veracruz,Mexico,40049.0
OOLU271175635022,13.01.23,Bmw Ag,Benteler De Mexico S A De C V,Rear Axle Forge,"New Orleans, La",Veracruz,Mexico,3493.0
EXDO6440046058,11.01.23,Benteler Componentes Automotivos Lt,Benteler De Mexico S A De C V,Car,"Houston, Tx",Veracruz,Mexico,7334.0
EXDO6440046057,11.01.23,Benteler Componentes Automotivos Lt,Benteler De Mexico S A De C V,Car,"Houston, Tx",Veracruz,Mexico,7334.0
DSVF0132120057,10.01.23,Ford Werke Gmbh,Benteler De Mexico S A De C V,Automotive,"Houston, Tx",Veracruz,Mexico,44.0
PUSJPBCPLZM00142,10.01.23,Benteler South Africa Pty Ltd,Benteler De Mexico S A De C V,Side Rail Cortado Side Rail Cardboard,"Mobile, Al",Veracruz,Mexico,34344.0
DSVF0132110099,30.12.22,Ford Werke Gmbh,Benteler De Mexico S A De C V,Automotive Automotive Automotive,"Houston, Tx",Veracruz,Mexico,6254.0
OOLU271110633003,29.12.22,Bmw Ag,Benteler De Mexico S A De C V,Rear Axle Forge,"New Orleans, La",Veracruz,Mexico,1580.0
PUSJPBCLIVM00140,28.12.22,Vitesco Technologies Italy S R L,Benteler De Mexico S A De C V,High Pressure Fuel Rail Ford Bat Cardboard Bat Wooden Pallet,"Houston, Tx",Tampico,Mexico,5064.0
PUSJPBCPLZM00116,26.12.22,Benteler South Africa Pty Ltd,Benteler De Mexico S A De C V,Side Rail Cortado Side Rail Cardboard Side Rail Cortado Side Rail Cardboard Travesano Frontal Parte Superi Travesano Frontal Parte Inferi,"Jacksonville, Fl",Veracruz,Mexico,28152.0
DSVF0132120002,21.12.22,Ford Werke Gmbh,Benteler De Mexico S A De C V,Automotive,"Houston, Tx",Veracruz,Mexico,3000.0
EXDO6440045972,14.12.22,Benteler Componentes Automotivos Lt,Benteler De Mexico S A De C V,Car,"Houston, Tx",Veracruz,Mexico,7334.0
PUSJPBCLIVM00125,14.12.22,Vitesco Technologies Italy S R L,Benteler De Mexico S A De C V,High Pressure Fuel Rail Ford Bat Cardboard Bat Wooden Pallet,"Houston, Tx",Veracruz,Mexico,5064.0
OOLU270943340018,13.12.22,Bmw Ag,Benteler De Mexico S A De C V,Rear Axle Forge,"New Orleans, La",Veracruz,Mexico,2455.0
OOLU270943352002,13.12.22,Bmw Ag,Benteler De Mexico S A De C V,Rear Axle Forge,"New Orleans, La",Veracruz,Mexico,1549.0
PUSJPBCPLZM00115,12.12.22,Benteler South Africa Pty Ltd,Benteler De Mexico S A De C V,Cardboard Front Crossbar Bottom Top Rear Crossbar Side Rail Cut Side Rail Cardboard Side Rail Cut Cardboard,"Jacksonville, Fl",Veracruz,Mexico,28503.0
PUSJPBCPLZM00119,08.12.22,Vitesco Technologies Italy,Benteler De Mexico S A De C V,High Pressure Fuel Rail Ford Bat Cardboard Bat Wooden Pallet,"Houston, Tx",Tampico,Mexico,5064.0
OOLU270803759009,26.11.22,Bmw Ag,Benteler De Mexico S A De C V,Rear Axle Forge,"New Orleans, La",Veracruz,Mexico,285.0
OOLU270803759002,26.11.22,Bmw Ag,Benteler De Mexico S A De C V,Rear Axle Forge,"New Orleans, La",Veracruz,Mexico,1343.0
CMDUHBGA0335213,21.11.22,Benteler De Mexico S A De C V,Benteler Mechanical,Tcnu Projekt Welding Fixture End Delivery Fixtures Commercial List Projekt Welding Fixture,"Charleston, Sc",Bremerhaven,Germany,5082.0
PUSJPBCPLZM00106,21.11.22,Benteler South Africa Pty Ltd,Benteler De Mexico S A De C V,Cardboard Front Crossbar Bottom Top Rear Crossbar Side Rail Cardboard Side Rail,"Jacksonville, Fl",Veracruz,Mexico,20664.0
EXDO6440045871,18.11.22,Benteler Componentes Automotivos Lt,Benteler De Mexico S A De C V,Car,"Houston, Tx",Veracruz,Mexico,7300.0
DSVF0132100128,17.11.22,Ford Werke Gmbh,Benteler De Mexico S A De C V,Automotive Automotive,"Houston, Tx",Veracruz,Mexico,440.0
DSVF0132100168,17.11.22,Ford Werke Gmbh,Benteler De Mexico S A De C V,Automotive,"Houston, Tx",Veracruz,Mexico,40.0
EXDO6440045654,09.11.22,Benteler Componentes Automotivos Lt,Benteler De Mexico S A De C V,Car,"Houston, Tx",Veracruz,Mexico,7334.0
DSVF0132100080,09.11.22,Ford Werke Gmbh,Benteler De Mexico S A De C V,Automotive,"Houston, Tx",Veracruz,Mexico,3046.0
EXDO6440045655,26.10.22,Benteler Componentes Automotivos Lt,Benteler De Mexico S A De C V,Car,"Houston, Tx",Veracruz,Mexico,7334.0
DSVF0132100007,23.10.22,Ford Werke Gmbh,Benteler De Mexico S A De C V,Automotive Automotive Automotive Automotive,"Houston, Tx",Veracruz,Mexico,208.0
EXDO6440045548,17.10.22,Benteler Componentes Automotivos Lt,Benteler De Mexico S A De C V,Car,"Houston, Tx",Veracruz,Mexico,3664.0
DSVF0132090034,12.10.22,Ford Werke Gmbh,Benteler De Mexico S A De C V,Automotive Automotive,"Houston, Tx",Veracruz,Mexico,63.0
DSVF0132090086,12.10.22,Ford Werke Gmbh,Benteler De Mexico S A De C V,Automotive Automotive Automotive,"Houston, Tx",Veracruz,Mexico,1555.0
DSVF0132080134,21.09.22,Ford Werke Gmbh,Benteler De Mexico S A De C V,Automotive,"Houston, Tx",Veracruz,Mexico,36.0
EXDO6440044950,09.09.22,Benteler Componentes Automotivos Lt,Benteler De Mexico S A De C V,Juice,"Houston, Tx",Veracruz,Mexico,7334.0
PUSJPBCPLZM00082,09.09.22,Benteler South Africa Pty Ltd,Benteler De Mexico S A De C V,Side Rail Cardboard,"Jacksonville, Fl",Veracruz,Mexico,29764.0
EXDO6440045066,09.09.22,Benteler Componentes Automotivos Lt,Benteler De Mexico S A De C V,Car,"New Orleans, La",Veracruz,Mexico,7334.0
EXDO6440045066,25.08.22,Benteler Componentes Automotivos Lt,Benteler De Mexico S A De C V,Car,"New Orleans, La",Veracruz,Mexico,7334.0
EXDO6440044950,25.08.22,Benteler Componentes Automotivos Lt,Benteler De Mexico S A De C V,Juice,"New Orleans, La",Veracruz,Mexico,7334.0
OOLU270298050015,20.08.22,Bmw Ag,Benteler De Mexico S A De C V,Rear Axle Forge,"Houston, Tx",Veracruz,Mexico,751.0
PUSJFRAVERM00964,27.07.22,Benteler De Mexico S A De C V,Inline3D Gmbh,Machine,"Charleston, Sc",Bremerhaven,Germany,3750.0
OOLU270100578008,21.07.22,Bmw Ag,Benteler De Mexico S A De C V,Rear Axle Forge,"Houston, Tx",Veracruz,Mexico,4153.0
OOLU270100580021,21.07.22,Bmw Ag,Benteler De Mexico S A De C V,Rear Axle Forge,"Houston, Tx",Veracruz,Mexico,3141.0
PUSJPBCPLZM00069,20.07.22,Benteler South Africa Pty Ltd,Benteler De Mexico S A De C V,Side Rail Cortado Hidroform Side Rail Cut Side Rail Cortado Hidroform Side Rail Cut Side Rail Cut Side Rail Cortado Hidroform Side Rail Cut Side Rail Cortado Hidroform Travesano Trasero Parte Delant Travesano Trasero Parte Traser Travesano Frontal Parte Inferi Travesano Frontal Parte Superi,"New Orleans, La",Veracruz,Mexico,65750.0
PUSJPBCPLZM00065,13.07.22,Benteler South Africa Pty Ltd,Benteler De Mexico S A De C V,Side Rail Cortado Side Rail Travesano Frontal Side Rail,"Jacksonville, Fl",Veracruz,Mexico,32329.0
EXDO6440044855,27.06.22,Benteler Componentes Automotivos Lt,Benteler De Mexico S A De C V,Car,"Houston, Tx",Veracruz,Mexico,7334.0
EXDO6440044854,27.06.22,Benteler Componentes Automotivos Lt,Benteler De Mexico S A De C V,Car,"Houston, Tx",Veracruz,Mexico,7334.0
PUSJPBCPLZM00059,27.06.22,Benteler South Africa Pty Ltd,Benteler De Mexico S A De C V,Side Rail Side Rail Side Rail Travesano Frontal Par Side Rail,"Jacksonville, Fl",Veracruz,Mexico,67080.0
DSVF0132050176,24.06.22,Ford Werke Gmbh,Benteler De Mexico S A De C V,Automotive Automotive,"Houston, Tx",Veracruz,Mexico,41.0
DSVF0132050121,24.06.22,Ford Werke Gmbh,Benteler De Mexico S A De C V,Automotive,"Houston, Tx",Veracruz,Mexico,1274.0
DSVF0132040118,15.06.22,Ford Werke Gmbh,Benteler De Mexico S A De C V,Automotive Automotive,"Houston, Tx",Veracruz,Mexico,67.0
DSVF0132060040,15.06.22,Ford Werke Gmbh,Benteler De Mexico S A De C V,Automotive,"Houston, Tx",Veracruz,Mexico,3000.0
DSVF0132050046,14.06.22,Ford Werke Gmbh,Benteler De Mexico S A De C V,Automotive,"Houston, Tx",Veracruz,Mexico,1483.0
EXDO6440044630,14.06.22,Benteler Componentes Automotivos Lt,Benteler De Mexico S A De C V,Car,"Houston, Tx",Veracruz,Mexico,14667.0
EXDO6440044628,09.06.22,Benteler Componentes Automotivos Lt,Benteler De Mexico S A De C V,Car,"Houston, Tx",Veracruz,Mexico,7334.0
OOLU269758781009,30.05.22,Bmw Ag Werk,Benteler De Mexico S A De C V,Rear Axle Forge,"Houston, Tx",Veracruz,Mexico,560.0
OOLU269758781007,30.05.22,Bmw Ag,Benteler De Mexico S A De C V,Rear Axle Forge,"Houston, Tx",Veracruz,Mexico,1416.0
OOLU269758781005,30.05.22,Bmw Ag,Benteler De Mexico S A De C V,Rear Axle Forge,"Houston, Tx",Veracruz,Mexico,2306.0
OOLU269758781020,30.05.22,Bmw Ag,Benteler De Mexico S A De C V,Rear Axle Forge,"Houston, Tx",Veracruz,Mexico,3316.0
EXDO6440044627,23.05.22,Benteler Componentes Automotivos Lt,Benteler De Mexico S A De C V,Car,"Houston, Tx",Veracruz,Mexico,14670.0
